community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:7bbTqwz2S8flouwTZcxLZqmiruA=,S0,0.0012741088867187,S,143.88.14.11,33753,143.88.15.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711556932.414608,CWaETQ34rgQ8Nv0atf,2024-03-27T16:28:52.414Z,Persistence,Duplicate,Duplicate,Duplicate
1:I297Oas3EFFestpKNuHEf8gr34U=,S0,0.0013971328735351,S,143.88.7.11,37835,143.88.8.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711517604.203456,CG33432GaCu510ftb6,2024-03-27T05:33:24.203Z,Persistence,Duplicate,Duplicate,Duplicate
1:DPlIMobpsSxVRQ9YcRRRXvaiuLs=,S0,0.0018270015716552,S,143.88.11.10,37475,143.88.12.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711551329.218657,C0A2Yw3hWFHnF2FrM6,2024-03-27T14:55:29.218Z,Persistence,Duplicate,Duplicate,Duplicate
1:6rvmmeXwvhqxLOqTaWDO4NrR/0M=,S0,0.0014328956604003,S,143.88.9.12,41123,143.88.10.11,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711542103.89806,CifOAy4EyHLhgP9Jy1,2024-03-27T12:21:43.898Z,Persistence,Duplicate,Duplicate,Duplicate
1:hP9Smm/rJFGFtmKKKlwIz28K1oI=,S0,0.0014939308166503,S,143.88.2.17,44205,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711302099.9875,C5XiVz4Wf89nGJocRb,2024-03-24T17:41:39.987Z,Persistence,Duplicate,Duplicate,Duplicate
1:luSQ3apCij608HVEeBYrH9OGugY=,S0,0.0008800029754638672,S,143.88.11.10,43695,143.88.12.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711281061.211271,CKIpda41KHYuihqis3,2024-03-24T11:51:01.211Z,Persistence,Duplicate,Duplicate,Duplicate
1:VUKwPucZSzuHaafjKvr0hfpYUzA=,S0,0.0014979839324951,S,143.88.5.14,46105,143.88.6.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711315070.57429,CP9Ec7D0v9KCGxzN,2024-03-24T21:17:50.574Z,Persistence,Duplicate,Duplicate,Duplicate
1:XcehT7zyMhRvm4UyEbDAKrH4U3A=,S0,0.001209020614624,S,143.88.13.12,46583,143.88.14.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711272462.77794,CGhxohmIQLFpXLvck,2024-03-24T09:27:42.777Z,Persistence,Duplicate,Duplicate,Duplicate
1:pHc6yA8rRycwTtn5+j0HJC640/M=,S0,0.0015881061553955,S,143.88.5.14,44585,143.88.6.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711524207.687542,CL8Och1Llk2raVP6li,2024-03-27T07:23:27.687Z,Persistence,Duplicate,Duplicate,Duplicate
1:wYslPxO0NDFPScSaO8wsRTtp4P0=,S0,0.0011420249938964,S,143.88.2.17,34283,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711557757.849633,CMlq444eTv8J3pCbJ6,2024-03-27T16:42:37.849Z,Persistence,Duplicate,Duplicate,Duplicate
1:uT5eCpSmy9Re5efkor6msiWNd7w=,S0,0.0012829303741455,S,143.88.2.17,40315,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711577146.255718,CKBRlFhEP0wbFUN0a,2024-03-27T22:05:46.255Z,Persistence,Duplicate,Duplicate,Duplicate
1:pm05V9+QWcdnmJjcKpiyNGQ0p2Y=,RSTO,0.1994240283966064,ShADTdtTtR,143.88.12.12,41947,143.88.13.10,445,False,False,0,13121.0,58964,124,tcp,2858.0,17288,112,"smb,gssapi,ntlm",1711304899.223391,CIr0HC2bwzIYPE0izb,2024-03-24T18:28:19.223Z,Persistence,Duplicate,Duplicate,Duplicate
1:PJfSpY2X+zkXo3/vTiBFFP5e0AY=,RSTO,0.3979239463806152,ShADTFadtR,143.88.1.18,38185,143.88.2.20,445,False,False,0,73.0,1316,20,tcp,174.0,1352,12,gssapi,1711279344.488116,CGQaeh4X4B8cR8Vbd8,2024-03-24T11:22:24.488Z,Persistence,Duplicate,Duplicate,Duplicate
1:UZ3/XMQHT6oNqkalJGCx9BlDIVY=,RSTR,0.713374137878418,ShADTdtTtTtFar,143.88.12.12,36403,143.88.13.10,445,False,False,0,24560.0,111792,260,tcp,6484.0,39232,256,"ntlm,dce_rpc,gssapi,smb",1711249572.850483,CIZdf83FkU8of84Qw4,2024-03-24T03:06:12.850Z,Persistence,Duplicate,Duplicate,Duplicate
1:9QA5LdChfCf/lLgPtWOmNPaFdSU=,S0,0.0014359951019287,S,143.88.2.17,41389,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711514964.232622,CqyXtwjp8R0BmOpcf,2024-03-27T04:49:24.232Z,Persistence,Duplicate,Duplicate,Duplicate
1:3L4VT7rqC5ZDIFjG6m5iocPZ+NE=,S0,0.0011641979217529,S,143.88.14.11,46727,143.88.15.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711270817.74676,Chf5HH4SuQ0j0SNE8,2024-03-24T09:00:17.746Z,Persistence,Duplicate,Duplicate,Duplicate
1:O7X3I2Fa1ffypNQVYKrpNaS+6sw=,S0,0.0013091564178466,S,143.88.2.17,41637,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711309449.354775,CSSIEy28CUvbu2IKP5,2024-03-24T19:44:09.354Z,Persistence,Duplicate,Duplicate,Duplicate
1:k6wtIp66imZY5VoR41mXlUJe1pA=,S0,0.0013368129730224,S,143.88.9.12,46311,143.88.10.11,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711531551.118462,Cv3yeI3P8rRVmDgnqg,2024-03-27T09:25:51.118Z,Persistence,Duplicate,Duplicate,Duplicate
1:aNicO5Fs04nwpptUA1POwzOQ0Kk=,S0,0.0022919178009033,S,143.88.8.12,45565,143.88.9.10,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711278072.684199,CmhNzm32HZgaVSmaQi,2024-03-24T11:01:12.684Z,Persistence,Duplicate,Duplicate,Duplicate
1:RlxhJ0DrSHA9DaySc1/HVVYySuE=,S0,0.0008249282836914062,S,143.88.7.11,44311,143.88.8.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711323750.015671,CmS1fY3nU6MyJNCUI1,2024-03-24T23:42:30.015Z,Persistence,Duplicate,Duplicate,Duplicate
1:XBJc91vHYIe0go3RR9EtahCtmRk=,S0,0.0011408329010009,S,143.88.8.12,36731,143.88.9.10,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711258755.574233,CLu32n1nOsdeKJIdOi,2024-03-24T05:39:15.574Z,Persistence,Duplicate,Duplicate,Duplicate
1:QoSDhhAdtAAEerA2RrsmmV1Kxxw=,S0,0.0015699863433837,S,143.88.6.11,36985,143.88.7.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711551147.123025,CBoTwLDXr5L4R2np6,2024-03-27T14:52:27.123Z,Persistence,Duplicate,Duplicate,Duplicate
1:mP/8m9wI531PqyL4Ub/RWMB7hVg=,S0,0.0014739036560058,S,143.88.3.11,40755,143.88.4.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711539545.39838,CjOml22wr0xJrjd0w8,2024-03-27T11:39:05.398Z,Persistence,Duplicate,Duplicate,Duplicate
1:wz1YD3EtjtaLTjOY/0eLkjr7uHc=,S0,0.0012240409851074,S,143.88.8.12,45183,143.88.9.10,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711263124.854419,C2rbhn2YKgblu4mLBl,2024-03-24T06:52:04.854Z,Persistence,Duplicate,Duplicate,Duplicate
1:uHoKSXxy140zwO48fWJJ7rPYR1E=,S0,0.0020999908447265,S,143.88.14.11,45385,143.88.15.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711526185.598512,CAfQ1u4ZInbjvh0sp3,2024-03-27T07:56:25.598Z,Persistence,Duplicate,Duplicate,Duplicate
1:RNJTuBr4516zDO5dLYn+hnbm1Lg=,S0,0.001317024230957,S,143.88.9.12,41253,143.88.10.11,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711253515.47806,CQ6VAp3xpNj9q3Rqod,2024-03-24T04:11:55.478Z,Persistence,Duplicate,Duplicate,Duplicate
1:gc9cnsXkLvbR5BUawuV9ydd8CLE=,S0,0.002120018005371,S,143.88.7.11,34039,143.88.8.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711265451.199105,Ch9dgI2ogNH7dTZiBc,2024-03-24T07:30:51.199Z,Persistence,Duplicate,Duplicate,Duplicate
1:s2hHpr2PiSKi/MsMugG3mp5gPko=,S0,0.0014240741729736,S,143.88.7.11,37629,143.88.8.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711560623.074236,CYv9Vm4aYzMhIvmGfd,2024-03-27T17:30:23.074Z,Persistence,Duplicate,Duplicate,Duplicate
1:8WpKwfq0DBKxZQZfX8o0sCKm3uE=,S0,0.0018239021301269,S,143.88.2.17,38685,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711537925.769901,CzMOb31J8pAkoKBiLc,2024-03-27T11:12:05.769Z,Persistence,Duplicate,Duplicate,Duplicate
1:Pyc2eswM2avjFUHO5GaMoSPo/rQ=,S0,0.0014851093292236,S,143.88.8.12,41967,143.88.9.10,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711536136.693208,Chu66b1NROnyA5l6u5,2024-03-27T10:42:16.693Z,Persistence,Duplicate,Duplicate,Duplicate
1:J/5QBGnnFcLMARf6s4jyk6uspr0=,S0,0.0015699863433837,S,143.88.2.17,35167,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1711575165.592586,CK7r0I2dPOSICBXVQe,2024-03-27T21:32:45.592Z,Persistence,Duplicate,Duplicate,Duplicate
1:+hOnbMgJ83fzU3xA+1OuV95rlsI=,RSTO,4.752967834472656,ShADTadtTtR,143.88.1.18,38885,143.88.2.20,445,False,False,0,8713.0,40500,108,tcp,2142.0,13800,100,"gssapi,smb,ntlm",1709466823.827438,CVYd368MIp3yd38L1,2024-03-03T11:53:43.827Z,Persistence,Duplicate,Duplicate,Duplicate
1:znahWLG88LCneZAYolAgVMqNTxU=,S0,0.0010628700256347,S,143.88.4.11,41721,143.88.5.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709492290.486217,C7udgc12S7AdtfnX33,2024-03-03T18:58:10.486Z,Persistence,Duplicate,Duplicate,Duplicate
1:Y20iMHoor6nJMuHVrBYIZDa8B7E=,S0,0.0012440681457519,S,143.88.4.11,38681,143.88.5.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709496031.993003,CDFUM2RHrgb3GDiy3,2024-03-03T20:00:31.993Z,Persistence,Duplicate,Duplicate,Duplicate
1:8ss/HIoPnvKjM876s9UqUOFO9FE=,S0,0.0006208419799804688,S,143.88.14.11,36603,143.88.15.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709508649.104108,CB7GSE2W3aj9jhUYq3,2024-03-03T23:30:49.104Z,Persistence,Duplicate,Duplicate,Duplicate
1:MerD8lzGjDrxOrklp4cXvXE/F9M=,S0,0.0010390281677246,S,143.88.7.11,36181,143.88.8.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709437746.964655,CdjIWMOCdxZwGcAcd,2024-03-03T03:49:06.964Z,Persistence,Duplicate,Duplicate,Duplicate
1:yG2D96yd1dPornZZOtt9CbZhj0o=,RSTO,0.2001287937164306,ShADTdtTtR,143.88.12.12,32841,143.88.13.10,445,False,False,0,10041.0,45604,104,tcp,2438.0,14568,92,"ntlm,smb,gssapi",1709429377.893639,Ch5Md92dvO4635W3i4,2024-03-03T01:29:37.893Z,Persistence,Duplicate,Duplicate,Duplicate
1:dA+jLSOYTegahJ0Rhgg9CzV9JV8=,S0,0.0017080307006835,S,143.88.6.11,43885,143.88.7.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709475509.330602,CSw32D4YZXmoeMApj3,2024-03-03T14:18:29.330Z,Persistence,Duplicate,Duplicate,Duplicate
1:EvQQgRRauUsOtKq5S1ExtBfBUZc=,S0,0.0018060207366943,S,143.88.2.17,46873,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709508258.082825,CKeZIV2a8JCNMgfpL9,2024-03-03T23:24:18.082Z,Persistence,Duplicate,Duplicate,Duplicate
1:mkzJ5RfXdw/shsBjrQqMuSAEQxs=,S0,0.0010819435119628,S,143.88.2.17,33229,143.88.3.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709458318.401309,CP9Qdv2oWvNCglTVi5,2024-03-03T09:31:58.401Z,Persistence,Duplicate,Duplicate,Duplicate
1:M3DdSwIapKR0yS/9t5XmdiMbZpw=,RSTR,9.530756950378418,ShADTadtTtTtFr,143.88.1.18,33929,143.88.2.20,445,False,False,0,15307.0,72800,200,tcp,4690.0,29448,204,"ntlm,dce_rpc,smb,gssapi",1709449383.422916,CMnKZB18KZDn6omF11,2024-03-03T07:03:03.422Z,Persistence,Duplicate,Duplicate,Duplicate
1:PuDhAXurfnCA1kfHiPxNGZRFU9Q=,S0,0.0009779930114746094,S,143.88.15.10,41921,143.88.1.19,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709499546.048867,C4V9n42ya7hOsbkG37,2024-03-03T20:59:06.048Z,Persistence,Duplicate,Duplicate,Duplicate
1:gRsAwbh3lfOBzirVMpvcXZfibkc=,S0,0.0011041164398193,S,143.88.11.10,34155,143.88.12.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709455568.783294,CQNqOM1ZVBK9KqnZZ3,2024-03-03T08:46:08.783Z,Persistence,Duplicate,Duplicate,Duplicate
1:76vpdhAsj67xu6JGjfFhPiBeXNg=,S0,0.001335859298706,S,143.88.14.11,37453,143.88.15.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709449976.614921,Czw8MG3mKppj0OGIxj,2024-03-03T07:12:56.614Z,Persistence,Duplicate,Duplicate,Duplicate
1:cajFWUsNeMKAVpjs2eEs4OgL+/M=,S0,0.0014841556549072,S,143.88.3.11,36101,143.88.4.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709436476.789883,Cdezju4bL8yt0yZF6l,2024-03-03T03:27:56.789Z,Persistence,Duplicate,Duplicate,Duplicate
1:baaQLtuYsRivehJDDh9RulDeZhQ=,S0,0.0020289421081542,S,143.88.3.11,43373,143.88.4.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709445717.207299,CQVPzmkVJnqnbGdp6,2024-03-03T06:01:57.207Z,Persistence,Duplicate,Duplicate,Duplicate
1:K+2/hiPAg7xeQXr/Iw/qr5w5X1k=,S0,0.0011079311370849,S,143.88.14.11,39815,143.88.15.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709491802.486819,CiKUpy1ge1JdsX0XNk,2024-03-03T18:50:02.486Z,Persistence,Duplicate,Duplicate,Duplicate
1:N9h5EqSyGBo7MkYMlyyalDhIRkw=,S0,0.001173973083496,S,143.88.13.12,39389,143.88.14.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709447658.538659,C1nZ9d3356OIBrP3Fh,2024-03-03T06:34:18.538Z,Persistence,Duplicate,Duplicate,Duplicate
1:7sVWHvUWFGVEQQe7+xT5bqW0LAs=,S0,0.0013799667358398,S,143.88.4.11,35567,143.88.5.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709485117.689706,CHqQkI1FU6lPPlwW32,2024-03-03T16:58:37.689Z,Persistence,Duplicate,Duplicate,Duplicate
1:rlwAUGiBFJlmofYZnzWp/+1HEXo=,S0,0.0033679008483886,S,143.88.6.11,41913,143.88.7.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709484440.917053,CSJ5EF2vmrFDarSvoj,2024-03-03T16:47:20.917Z,Persistence,Duplicate,Duplicate,Duplicate
1:u31JLO0JIjKgH3FQ/ydiwHnj8Qw=,S0,0.0011999607086181,S,143.88.13.12,45303,143.88.14.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709426126.617472,CH1Iar1RCd8UXO8xGe,2024-03-03T00:35:26.617Z,Persistence,Duplicate,Duplicate,Duplicate
1:1SPcEBSlac5YKiUrD5V/NzfH1No=,RSTO,0.2567620277404785,ShADTFadtR,143.88.1.18,36389,143.88.2.20,445,False,False,0,73.0,1316,20,tcp,174.0,1352,12,gssapi,1709468270.59186,CLmMdd4LJD8Cy6Ffh5,2024-03-03T12:17:50.591Z,Persistence,Duplicate,Duplicate,Duplicate
1:K90McW3kjr3/yQMUuNJnVsa0IEo=,S0,0.0011141300201416,S,143.88.15.10,34863,143.88.1.19,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709392821.547634,CidJPr1E3FmlvNcWdd,2024-03-02T15:20:21.547Z,Persistence,Duplicate,Duplicate,Duplicate
1:OzH03JoUeAUrU+pH/YnwNesNi0M=,S0,0.0014550685882568,S,143.88.15.10,34165,143.88.1.19,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709160656.266501,C9iuAi3pl36iuAdij2,2024-02-28T22:50:56.266Z,Persistence,Duplicate,Duplicate,Duplicate
1:ATSwj4pT3zyCHthuA80OjLvTEvY=,S0,0.0018529891967773,S,143.88.11.10,43815,143.88.12.14,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709112298.564197,CBFZpe4HNcMoQRZwfh,2024-02-28T09:24:58.564Z,Persistence,Duplicate,Duplicate,Duplicate
1:ZN2rMMmLt5SI6r52Q0T3Sp5RrR8=,S0,0.0020999908447265,S,143.88.3.11,45875,143.88.4.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709317520.940528,ClKyMhiWVdXTQhm2,2024-03-01T18:25:20.940Z,Persistence,Duplicate,Duplicate,Duplicate
1:HcX0T9128Mro54sdRqYn5sUe9jg=,S0,0.0014069080352783,S,143.88.15.10,39541,143.88.1.19,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709303902.061443,CC21Vn4KAJhtDsNam9,2024-03-01T14:38:22.061Z,Persistence,Duplicate,Duplicate,Duplicate
1:RkEIqMk+bNM04WkGEXZGU3czHec=,S0,0.0015120506286621,S,143.88.13.12,42199,143.88.14.12,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709373384.586828,CuVZi9PinFu5dHorf,2024-03-02T09:56:24.586Z,Persistence,Duplicate,Duplicate,Duplicate
1:qwSHueRRbZXCURkCRsV/L+4+ggg=,S0,0.0016088485717773,S,143.88.15.10,46601,143.88.1.19,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709414655.655569,Ce0mc72bRU3zbmDN3f,2024-03-02T21:24:15.655Z,Persistence,Duplicate,Duplicate,Duplicate
1:PptCweVayo96mw0xcw6XnRKeuJI=,S0,0.0016210079193115,S,143.88.7.11,36297,143.88.8.13,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709344794.121482,Cv9y3T30qNMnOoxT7h,2024-03-02T01:59:54.121Z,Persistence,Duplicate,Duplicate,Duplicate
1:sykgrdOLaTsVUYQYBJBIoEWxVmw=,S0,0.0019519329071044,S,143.88.8.12,32805,143.88.9.10,445,False,False,0,0.0,240,4,tcp,0.0,0,0,,1709137320.929034,CbuK5SLOvj97qULvh,2024-02-28T16:22:00.929Z,Persistence,Duplicate,Duplicate,Duplicate
