community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic
1:uQsKW5RNPKpQsWfGthK/hPu+aq4=,S0,1.4066696166992188E-5,D,143.88.255.10,40775,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640864692632359E9,CoGOhn1dXaj1FRueKb,2021-12-30T11:44:52.632Z,none
1:lsITkQ26B9QZYBMRKFSwFFEHonY=,S0,7.867813110351562E-6,D,143.88.255.10,45372,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640862060884385E9,CglPjbJdiURBxj3N7,2021-12-30T11:01:00.884Z,none
1:Dm61A+fUKY3HxEuuXun18O2AXIU=,S0,1.0967254638671875E-5,D,143.88.255.10,39052,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640865388383825E9,CjjlLk2d8qfs4WMbw7,2021-12-30T11:56:28.383Z,none
1:dG2HhZ/oFLwVeb+60y8y1JCnx54=,S0,1.2874603271484375E-5,D,143.88.255.10,39451,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640587844632322E9,Cfx9TG2KDryUejew2a,2021-12-27T06:50:44.632Z,none
1:MGXZFpePceD5/Ii18K+UfHUSgpM=,S0,1.0013580322265625E-5,D,143.88.255.10,53257,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640673996633789E9,CeeneJ3Ns5MUUJrlNi,2021-12-28T06:46:36.633Z,none
1:GjwTHb2fGM4kuvvFUAtd1HMqL78=,S0,1.3113021850585938E-5,D,143.88.255.10,42922,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640672393381321E9,C1T0eK3YvEKTbVxeVe,2021-12-28T06:19:53.381Z,none
1:gPBlIDq5NwnuFt8N3nSG6o0qQnY=,S0,1.9073486328125E-5,D,143.88.255.10,38843,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.64058551538044E9,CNcnVO3AyX6Gq46jf4,2021-12-27T06:11:55.380Z,none
1:DgiqDVJcbtUQUyK9/bCp2rQ7/+g=,S0,1.1920928955078125E-5,D,143.88.255.10,46080,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640833383881395E9,COrPM9W2iDokbpfzi,2021-12-30T03:03:03.881Z,none
1:SkBXXGhG8czzUK919qZE9fMeI+c=,S0,1.7881393432617188E-5,D,143.88.255.10,44074,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640834351880496E9,CopGgjoFGxJrxUmIa,2021-12-30T03:19:11.880Z,none
1:NrzJZjt7q9DrjB2V6y44LpINIDU=,S0,9.059906005859375E-6,D,143.88.255.10,38933,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.64083528963112E9,CGEjbn2obbcRrERcDc,2021-12-30T03:34:49.631Z,none
1:3UTKm08XrEmKpkC5+7JXKMWoo3U=,SF,5.004429102,Dd,143.88.1.51,57658,143.88.1.1,53,FALSE,FALSE,0,204,316,4,udp,48,160,4,dns,1.640674474303525E9,CfjMB624lnRrIgb27l,2021-12-28T06:54:34.303Z,none
1:Qy3b2FNXwj2k1pJ16EBW+iovNZM=,S0,1.2874603271484375E-5,D,143.88.255.10,41125,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640862514634669E9,CFIpeX1JMMnBlArmF9,2021-12-30T11:08:34.634Z,none
1:tDkq1HrVPWAE99cT3J2QFeQZV3U=,S0,1.8835067749023438E-5,D,143.88.255.10,48683,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640587330380772E9,CRSmwE1KU1crW6qfwl,2021-12-27T06:42:10.380Z,none
1:ZCWjHK8f3u1jyERC8OM5h1uPQjM=,SF,3.695487976074219E-5,Dd,143.88.255.1,47810,143.88.255.10,53,FALSE,FALSE,0,38,66,1,udp,38,66,1,dns,1.640833945727238E9,Ct1nWP0BQ0Re6VmJ2,2021-12-30T03:12:25.727Z,none
1:lIL60mWhbzcKdq05hYF9px5oc+o=,S0,1.1920928955078125E-5,D,143.88.255.10,42104,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640587935381067E9,CF2sRwnY5kGGZfxe3,2021-12-27T06:52:15.381Z,none
1:Oq4th/b5Fcqt3xe06+idyuMCu84=,S0,1.71661376953125E-5,D,143.88.255.10,51463,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.64058793538054E9,CiqxMm1pIGA4hs1yl1,2021-12-27T06:52:15.380Z,none
1:BXs22Qh+4u1lEJxPlK0BT39JgdU=,S0,1.0013580322265625E-5,D,143.88.255.10,59071,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640864813632217E9,CxxwiblBmFFOsp9j9,2021-12-30T11:46:53.632Z,none
1:bRFzk8AE9ab/CJnmA7iRQk5OWXE=,S0,1.71661376953125E-5,D,143.88.255.10,44013,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640672998383998E9,CnIqdi323pChRBKRl1,2021-12-28T06:29:58.383Z,none
1:undKjJLKxn3SMDQjrljtGYyfAiA=,S0,2.193450927734375E-5,D,143.88.255.10,35718,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640606236632039E9,CGPcBu281S03hzxFe7,2021-12-27T11:57:16.632Z,none
1:0C6mRBbnOWPdpfkrZu3kavN+A9k=,S0,1.71661376953125E-5,D,143.88.255.10,34277,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.64060472413514E9,CBwXVL35llblH1vEx4,2021-12-27T11:32:04.135Z,none
1:EUxSlFyrisp71HSSCWmjvg8KN3M=,SF,5.004442930221558,Dd,143.88.1.51,43092,143.88.1.1,53,FALSE,FALSE,0,204,316,4,udp,48,160,4,dns,1.640605063350745E9,CABmg2TBqGhAmSLw9,2021-12-27T11:37:43.350Z,none
1:zLa0lCeq79/3F5MG/+r836aTJUQ=,SF,5.004462003707886,Dd,143.88.1.51,39355,143.88.1.1,53,FALSE,FALSE,0,156,268,4,udp,48,160,4,dns,1.640586419503011E9,CmukLe4QJMs8pDQ3ub,2021-12-27T06:26:59.503Z,none
1:b80TdUI8TNn6V0MnweX6fcCxxUY=,S0,9.059906005859375E-6,D,143.88.255.10,48177,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640671697632102E9,C2giQr4I4wzGDOOBF9,2021-12-28T06:08:17.632Z,none
1:nz+hzNE3e/10ipx3YcH8TgRAnNE=,S0,1.4066696166992188E-5,D,143.88.255.10,39295,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640862817133684E9,CjJ0mN3MaWnO6eCZdg,2021-12-30T11:13:37.133Z,none
1:tspoUj7vUgN5XC+TJSIUrAXZ+6U=,S0,1.5974044799804688E-5,D,143.88.255.10,35712,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640865267383158E9,CxRMOp4kT2C7r4XrW6,2021-12-30T11:54:27.383Z,none
1:mKxRPQlifXe5Qk97fhvdp9TpuPs=,S0,1.5020370483398438E-5,D,143.88.255.10,52071,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640863028882904E9,Ci1rkQ1EzwTGaCzfrh,2021-12-30T11:17:08.882Z,none
1:VNlekDTL+7UoPWpjNGtAHcEsG98=,S0,1.0013580322265625E-5,D,143.88.255.10,48448,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.64084509063496E9,CrNWdzuyjtdvJS9Nf,2021-12-30T06:18:10.634Z,none
1:3RPwWjfb2it0non+M1FoUcyYh7s=,S0,1.2874603271484375E-5,D,143.88.255.10,47306,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640584275131422E9,C2DXWOzj4z63ue9q1,2021-12-27T05:51:15.131Z,none
1:xjdeNXRg+MJNITDaP7qNlVhT4k0=,S0,1.1920928955078125E-5,D,143.88.255.10,44213,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.64075975538115E9,CZk1da2aObabztTyv7,2021-12-29T06:35:55.381Z,none
1:p83UvP0x/PDieO+YeiCKBmEiLv0=,S0,1.1205673217773438E-5,D,143.88.255.10,42588,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640583821381199E9,C5371Jd66DYizuL0i,2021-12-27T05:43:41.381Z,none
1:uNUuitLzrKCjeUJXmGOVEjqp5eI=,S0,2.09808349609375E-5,D,143.88.255.10,51927,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640584456632456E9,C5VSIx3M14YM77lBt6,2021-12-27T05:54:16.632Z,none
1:UzaEPPyL9vqZrmTfV2EuG0POB5Q=,S0,1.7881393432617188E-5,D,143.88.255.10,43142,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.64058236938031E9,C9B8GlyvaEEe7RcT3,2021-12-27T05:19:29.380Z,none
1:nivdfkzQt/ac7SrUfr+vwgHjFvU=,SF,5.004452944,Dd,143.88.1.51,56379,143.88.1.1,53,FALSE,FALSE,0,156,268,4,udp,48,160,4,dns,1.640583037047024E9,Ctn7Od4lTDizR2GXla,2021-12-27T05:30:37.047Z,none
1:herM9fO9sOkWun/7/qP0SoaEPUU=,S0,1.3113021850585938E-5,D,143.88.255.10,36854,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640582339134234E9,CkAimmPtI81QDvuXh,2021-12-27T05:18:59.134Z,none
1:C7H3tq92KKvDNbUbhE4sj4QxyVA=,S0,1.3113021850585938E-5,D,143.88.255.10,39070,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640582853381959E9,CZkuJk4Uo3UvmSDZ55,2021-12-27T05:27:33.381Z,none
1:xBHtMyN5g1A5qNuZ/q2IqROON/w=,S0,1.0013580322265625E-5,D,143.88.255.10,58343,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640931151882452E9,C6izBp2Pm4fqZDAOwd,2021-12-31T06:12:31.882Z,none
1:rkcCj/KegLR9WGavSwWoTDC8E6Y=,S0,1.5974044799804688E-5,D,143.88.255.10,47815,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640930728381985E9,CSaYQ42Mk0cN4y0dcj,2021-12-31T06:05:28.381Z,none
1:uBYsteeWokS1Lm7OQ6JXvsDKSTM=,S0,1.0967254638671875E-5,D,143.88.255.10,37159,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.6407587571331E9,CsvCo04GLvD08Q0Fd2,2021-12-29T06:19:17.133Z,none
1:CgcmdOgMcBlrOyNPoJPknOtgTiw=,S0,1.2874603271484375E-5,D,143.88.255.10,60620,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640760541884453E9,Ccoi5c3Q3gmVw0Bxh7,2021-12-29T06:49:01.884Z,none
1:raD1NG12LhXsQU/gihgzdWGjXcc=,S0,1.0967254638671875E-5,D,143.88.255.10,43536,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640845483884289E9,CtrNlR2Te79l32iF3,2021-12-30T06:24:43.884Z,none
1:NSzGrYY4vUYjxWt3pOZMxBicWgQ=,S0,4.003296852111816,D,172.28.128.3,137,172.28.128.255,137,TRUE,TRUE,0,200,312,4,udp,0,0,0,dns,1.640846019087742E9,CgCsti3t373Vjqixue,2021-12-30T06:33:39.087Z,none
1:x05L8/Y6dglOJm7QF05mNJeb+yE=,S0,1.2874603271484375E-5,D,143.88.255.10,56090,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640844273881313E9,CUauL546KcyLq71B15,2021-12-30T06:04:33.881Z,none
1:Q2kxRJkFMKlcCpoUXucAyWatUHI=,S0,1.3113021850585938E-5,D,143.88.255.10,34423,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.64075942263429E9,CbfjTtDdZL8hB61y1,2021-12-29T06:30:22.634Z,none
1:GMmdoFVazVJvmIuZmGwBhaN7Lhc=,S0,1.0967254638671875E-5,D,143.88.255.10,50555,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640844455382138E9,CUAMC84lRVbsc19oQ,2021-12-30T06:07:35.382Z,none
1:PpKXoz5pp/LVgBOGqD1ucQuEseo=,S0,1.0967254638671875E-5,D,143.88.255.10,32936,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640499817134986E9,CfnMW527vkoOix9ySa,2021-12-26T06:23:37.134Z,none
1:VnwYWkIrsQhOWWwOE0GU/ef4xxQ=,S0,1.4066696166992188E-5,D,143.88.255.10,54535,10.0.10.1,53,FALSE,TRUE,0,102,158,2,udp,0,0,0,dns,1.640499091132037E9,CD7RpU2q8DbLdXHdSi,2021-12-26T06:11:31.132Z,none
1:FxhBEh9Is1wPQCXic6RrEFSRqzA=,S0,1.2874603271484375E-5,D,143.88.255.10,45043,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.64056908963048E9,CHf1vP10dFb0T5FON9,2021-12-27T01:38:09.630Z,none
1:E1xSdDEQzdwOllZBooEq/rcwMoQ=,S0,1.0967254638671875E-5,D,143.88.255.10,52956,10.0.10.1,53,FALSE,TRUE,0,78,134,2,udp,0,0,0,dns,1.640567758634175E9,Cyn3802xl9bmu4Hae6,2021-12-27T01:15:58.634Z,none
