community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic
1:7bbTqwz2S8flouwTZcxLZqmiruA=,S0,0.001274109,S,143.88.14.11,33753,143.88.15.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711556932.414608,CWaETQ34rgQ8Nv0atf,2024-03-27T16:28:52.414Z,Persistence
1:I297Oas3EFFestpKNuHEf8gr34U=,S0,0.001397133,S,143.88.7.11,37835,143.88.8.13,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711517604.203456,CG33432GaCu510ftb6,2024-03-27T05:33:24.203Z,Persistence
1:DPlIMobpsSxVRQ9YcRRRXvaiuLs=,S0,0.001827002,S,143.88.11.10,37475,143.88.12.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711551329.218657,C0A2Yw3hWFHnF2FrM6,2024-03-27T14:55:29.218Z,Persistence
1:6rvmmeXwvhqxLOqTaWDO4NrR/0M=,S0,0.001432896,S,143.88.9.12,41123,143.88.10.11,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711542104,CifOAy4EyHLhgP9Jy1,2024-03-27T12:21:43.898Z,Persistence
1:hP9Smm/rJFGFtmKKKlwIz28K1oI=,S0,0.001493931,S,143.88.2.17,44205,143.88.3.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711302100,C5XiVz4Wf89nGJocRb,2024-03-24T17:41:39.987Z,Persistence
1:luSQ3apCij608HVEeBYrH9OGugY=,S0,0.000880003,S,143.88.11.10,43695,143.88.12.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711281061.211271,CKIpda41KHYuihqis3,2024-03-24T11:51:01.211Z,Persistence
1:VUKwPucZSzuHaafjKvr0hfpYUzA=,S0,0.001497984,S,143.88.5.14,46105,143.88.6.13,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711315071,CP9Ec7D0v9KCGxzN,2024-03-24T21:17:50.574Z,Persistence
1:XcehT7zyMhRvm4UyEbDAKrH4U3A=,S0,0.001209021,S,143.88.13.12,46583,143.88.14.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711272463,CGhxohmIQLFpXLvck,2024-03-24T09:27:42.777Z,Persistence
1:pHc6yA8rRycwTtn5+j0HJC640/M=,S0,0.001588106,S,143.88.5.14,44585,143.88.6.13,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711524207.687542,CL8Och1Llk2raVP6li,2024-03-27T07:23:27.687Z,Persistence
1:wYslPxO0NDFPScSaO8wsRTtp4P0=,S0,0.001142025,S,143.88.2.17,34283,143.88.3.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711557757.849633,CMlq444eTv8J3pCbJ6,2024-03-27T16:42:37.849Z,Persistence
1:uT5eCpSmy9Re5efkor6msiWNd7w=,S0,0.00128293,S,143.88.2.17,40315,143.88.3.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711577146.255718,CKBRlFhEP0wbFUN0a,2024-03-27T22:05:46.255Z,Persistence
1:pm05V9+QWcdnmJjcKpiyNGQ0p2Y=,RSTO,0.1994240283966064,ShADTdtTtR,143.88.12.12,41947,143.88.13.10,445,FALSE,FALSE,0,13121,58964,124,tcp,2858,17288,112,"smb,gssapi,ntlm",1711304899.223391,CIr0HC2bwzIYPE0izb,2024-03-24T18:28:19.223Z,Persistence
1:PJfSpY2X+zkXo3/vTiBFFP5e0AY=,RSTO,0.3979239463806152,ShADTFadtR,143.88.1.18,38185,143.88.2.20,445,FALSE,FALSE,0,73,1316,20,tcp,174,1352,12,gssapi,1711279344.488116,CGQaeh4X4B8cR8Vbd8,2024-03-24T11:22:24.488Z,Persistence
1:UZ3/XMQHT6oNqkalJGCx9BlDIVY=,RSTR,0.713374138,ShADTdtTtTtFar,143.88.12.12,36403,143.88.13.10,445,FALSE,FALSE,0,24560,111792,260,tcp,6484,39232,256,"ntlm,dce_rpc,gssapi,smb",1711249572.850483,CIZdf83FkU8of84Qw4,2024-03-24T03:06:12.850Z,Persistence
1:9QA5LdChfCf/lLgPtWOmNPaFdSU=,S0,0.001435995,S,143.88.2.17,41389,143.88.3.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711514964.232622,CqyXtwjp8R0BmOpcf,2024-03-27T04:49:24.232Z,Persistence
1:3L4VT7rqC5ZDIFjG6m5iocPZ+NE=,S0,0.001164198,S,143.88.14.11,46727,143.88.15.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711270818,Chf5HH4SuQ0j0SNE8,2024-03-24T09:00:17.746Z,Persistence
1:O7X3I2Fa1ffypNQVYKrpNaS+6sw=,S0,0.001309156,S,143.88.2.17,41637,143.88.3.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711309449.354775,CSSIEy28CUvbu2IKP5,2024-03-24T19:44:09.354Z,Persistence
1:k6wtIp66imZY5VoR41mXlUJe1pA=,S0,0.001336813,S,143.88.9.12,46311,143.88.10.11,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711531551.118462,Cv3yeI3P8rRVmDgnqg,2024-03-27T09:25:51.118Z,Persistence
1:aNicO5Fs04nwpptUA1POwzOQ0Kk=,S0,0.002291918,S,143.88.8.12,45565,143.88.9.10,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711278072.684199,CmhNzm32HZgaVSmaQi,2024-03-24T11:01:12.684Z,Persistence
1:RlxhJ0DrSHA9DaySc1/HVVYySuE=,S0,0.000824928,S,143.88.7.11,44311,143.88.8.13,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711323750.015671,CmS1fY3nU6MyJNCUI1,2024-03-24T23:42:30.015Z,Persistence
1:XBJc91vHYIe0go3RR9EtahCtmRk=,S0,0.001140833,S,143.88.8.12,36731,143.88.9.10,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711258755.574233,CLu32n1nOsdeKJIdOi,2024-03-24T05:39:15.574Z,Persistence
1:QoSDhhAdtAAEerA2RrsmmV1Kxxw=,S0,0.001569986,S,143.88.6.11,36985,143.88.7.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711551147.123025,CBoTwLDXr5L4R2np6,2024-03-27T14:52:27.123Z,Persistence
1:mP/8m9wI531PqyL4Ub/RWMB7hVg=,S0,0.001473904,S,143.88.3.11,40755,143.88.4.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711539545,CjOml22wr0xJrjd0w8,2024-03-27T11:39:05.398Z,Persistence
1:wz1YD3EtjtaLTjOY/0eLkjr7uHc=,S0,0.001224041,S,143.88.8.12,45183,143.88.9.10,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711263124.854419,C2rbhn2YKgblu4mLBl,2024-03-24T06:52:04.854Z,Persistence
1:uHoKSXxy140zwO48fWJJ7rPYR1E=,S0,0.002099991,S,143.88.14.11,45385,143.88.15.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711526185.598512,CAfQ1u4ZInbjvh0sp3,2024-03-27T07:56:25.598Z,Persistence
1:RNJTuBr4516zDO5dLYn+hnbm1Lg=,S0,0.001317024,S,143.88.9.12,41253,143.88.10.11,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711253515,CQ6VAp3xpNj9q3Rqod,2024-03-24T04:11:55.478Z,Persistence
1:gc9cnsXkLvbR5BUawuV9ydd8CLE=,S0,0.002120018,S,143.88.7.11,34039,143.88.8.13,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711265451.199105,Ch9dgI2ogNH7dTZiBc,2024-03-24T07:30:51.199Z,Persistence
1:s2hHpr2PiSKi/MsMugG3mp5gPko=,S0,0.001424074,S,143.88.7.11,37629,143.88.8.13,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711560623.074236,CYv9Vm4aYzMhIvmGfd,2024-03-27T17:30:23.074Z,Persistence
1:8WpKwfq0DBKxZQZfX8o0sCKm3uE=,S0,0.001823902,S,143.88.2.17,38685,143.88.3.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711537925.769901,CzMOb31J8pAkoKBiLc,2024-03-27T11:12:05.769Z,Persistence
1:Pyc2eswM2avjFUHO5GaMoSPo/rQ=,S0,0.001485109,S,143.88.8.12,41967,143.88.9.10,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711536136.693208,Chu66b1NROnyA5l6u5,2024-03-27T10:42:16.693Z,Persistence
1:J/5QBGnnFcLMARf6s4jyk6uspr0=,S0,0.001569986,S,143.88.2.17,35167,143.88.3.14,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1711575165.592586,CK7r0I2dPOSICBXVQe,2024-03-27T21:32:45.592Z,Persistence
1:+hOnbMgJ83fzU3xA+1OuV95rlsI=,RSTO,4.752967834472656,ShADTadtTtR,143.88.1.18,38885,143.88.2.20,445,FALSE,FALSE,0,8713,40500,108,tcp,2142,13800,100,"gssapi,smb,ntlm",1709466823.827438,CVYd368MIp3yd38L1,2024-03-03T11:53:43.827Z,Persistence
1:znahWLG88LCneZAYolAgVMqNTxU=,S0,0.00106287,S,143.88.4.11,41721,143.88.5.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1709492290.486217,C7udgc12S7AdtfnX33,2024-03-03T18:58:10.486Z,Persistence
1:Y20iMHoor6nJMuHVrBYIZDa8B7E=,S0,0.001244068,S,143.88.4.11,38681,143.88.5.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1709496031.993003,CDFUM2RHrgb3GDiy3,2024-03-03T20:00:31.993Z,Persistence
1:8ss/HIoPnvKjM876s9UqUOFO9FE=,S0,0.000620842,S,143.88.14.11,36603,143.88.15.12,445,FALSE,FALSE,0,0,240,4,tcp,0,0,0,,1709508649.104108,CB7GSE2W3aj9jhUYq3,2024-03-03T23:30:49.104Z,Persistence
